iso3,country,year,gdp_usd,market_cap_usd,conglomerate_share_percent
USA,United States,1955,1082386330499.19,1644056648047.56,4.31
USA,United States,1960,1205269010894.28,2122340444291.63,6.11
USA,United States,1965,1293177746903.84,2457691705452.09,5.76
USA,United States,1970,1173665251536.11,2144173093641.31,6.99
USA,United States,1975,1284790201010.39,2636110781549.33,6.79
USA,United States,1980,1354736964420.2,2592830055197.65,8.62
USA,United States,1985,1446543629615.41,2856336377643.08,7.66
USA,United States,1990,1476590275286.55,2539550089129.89,9.95
USA,United States,1995,1844123637271.98,3173530678111.42,8.72
USA,United States,2000,1727439007112.63,2945104170846.99,9.95
USA,United States,2005,1777258414854.91,2909082202272.68,10.72
USA,United States,2010,1789094704205.51,3616101655367.36,10.17
USA,United States,2015,2200070052251.59,5040454001332.01,11.98
USA,United States,2020,2189914346714.26,3446027691550.29,10.96
USA,United States,2025,1800370353472.1,3583536728883.9,11.47
CAN,Canada,1955,2124080683355.04,666111166987.56,5.6
CAN,Canada,1960,2446104113707.28,923306398438.75,5.09
CAN,Canada,1965,2491947078568.58,957631319462.88,6.79
CAN,Canada,1970,2353832651369.35,933115384301.65,6.17
CAN,Canada,1975,2816010750323.41,998068732412.25,6.64
CAN,Canada,1980,2669904620755.24,1178186026175.08,8.33
CAN,Canada,1985,3063437141710.79,1040828532032.18,8.99
CAN,Canada,1990,3234682245267.05,1421846599516.66,9.04
CAN,Canada,1995,3198578956667.88,1058870039457.76,8.74
CAN,Canada,2000,3233557667345.95,1166247678634.55,9.98
CAN,Canada,2005,3565640004691.02,1500485914298.19,10.9
CAN,Canada,2010,3190222947587.1,1303810090218.5,10.12
CAN,Canada,2015,4360222832566.38,1826141880738.36,11.93
CAN,Canada,2020,3911314232999.64,2044461326832.38,11.65
CAN,Canada,2025,4680913464780.34,1716134139539.85,11.15
GBR,United Kingdom,1955,776502761875.78,731738598847.19,5.02
GBR,United Kingdom,1960,729084044684.64,834438698929.13,5.37
GBR,United Kingdom,1965,807332557712.5,1092366840339.8,6.74
GBR,United Kingdom,1970,945590273070.86,1334921717712.93,6.45
GBR,United Kingdom,1975,882748268189.83,1109152905402.39,6.59
GBR,United Kingdom,1980,978307220936.38,1072285144767.76,7.61
GBR,United Kingdom,1985,1006436642147.79,1237599208128.71,8.55
GBR,United Kingdom,1990,1071094948894.69,1660382847786.84,9.58
GBR,United Kingdom,1995,1122799947533.18,1384830577142.2,9.78
GBR,United Kingdom,2000,1192454502566.18,1374590222680.19,10.63
GBR,United Kingdom,2005,1100430687267.14,1328513907816.83,10.57
GBR,United Kingdom,2010,1170481913937.89,1840843815595.29,10.25
GBR,United Kingdom,2015,1252430201273.95,2052374946811.0,10.96
GBR,United Kingdom,2020,1366312836494.71,2000999418877.95,10.79
GBR,United Kingdom,2025,1643685105164.57,2017113065589.49,12.25
DEU,Germany,1955,1972241694247.49,966914300851.89,5.79
DEU,Germany,1960,2298562777072.1,1180620916459.77,5.39
DEU,Germany,1965,2571561039446.36,1569948243438.32,6.9
DEU,Germany,1970,2311892814386.11,1258391529482.09,7.74
DEU,Germany,1975,2400398891444.06,1305351437235.72,7.84
DEU,Germany,1980,2476139867235.64,1579370846624.49,8.44
DEU,Germany,1985,2802627326102.38,1918572102842.59,8.04
DEU,Germany,1990,3140104490696.68,1894343635271.95,9.75
DEU,Germany,1995,3308541967400.19,1661194292186.59,9.26
DEU,Germany,2000,3053436973030.02,2319282328048.9,9.75
DEU,Germany,2005,3794341032053.2,2575387140240.98,10.4
DEU,Germany,2010,3650586950064.02,1995800808349.67,11.24
DEU,Germany,2015,3253018936573.9,2357037593167.27,10.54
DEU,Germany,2020,4617276261555.68,3159460613857.46,11.31
DEU,Germany,2025,3943640415884.05,2190498161087.85,12.86
JPN,Japan,1955,2360797679348.58,1962400836982.22,4.63
JPN,Japan,1960,2591525832882.94,2168410998234.43,6.08
JPN,Japan,1965,2529227733624.81,2102887654753.0,7.32
JPN,Japan,1970,2855913246218.37,2409718059813.08,7.42
JPN,Japan,1975,3239921388958.89,2201678374759.58,7.1
JPN,Japan,1980,3528518143818.68,2891824865881.03,8.88
JPN,Japan,1985,3396027130876.9,2896569467687.84,8.87
JPN,Japan,1990,3855427705345.75,3252487392531.55,8.73
JPN,Japan,1995,3353729179806.41,2911277602967.17,8.59
JPN,Japan,2000,3885425346954.92,2754624183985.73,10.15
JPN,Japan,2005,3391533135414.7,3278757071624.22,10.11
JPN,Japan,2010,3945767067086.4,3415908789217.17,10.23
JPN,Japan,2015,4081994067985.65,2939389915388.27,11.25
JPN,Japan,2020,4670706103873.17,4005451051737.28,12.52
JPN,Japan,2025,4518033217733.07,4257171086442.94,11.47
CHN,China,1955,1321561342874.13,282539765559.12,5.39
CHN,China,1960,1204907905122.88,231893808643.67,5.19
CHN,China,1965,1435005324462.83,309334805729.51,5.9
CHN,China,1970,1564776296178.36,327786432112.04,7.17
CHN,China,1975,1449522176075.34,310321787428.9,8.03
CHN,China,1980,1427676618892.51,273709802401.26,7.14
CHN,China,1985,1835135494997.28,387451187423.38,7.76
CHN,China,1990,1766800522835.61,343312020670.16,8.92
CHN,China,1995,1875447482901.45,432290883141.73,8.61
CHN,China,2000,1950565650613.25,429449996428.86,10.68
CHN,China,2005,1931375354422.91,393272892837.88,10.67
CHN,China,2010,1965593047652.24,513925946054.84,10.95
CHN,China,2015,2194363083262.72,483797050066.38,11.28
CHN,China,2020,2406562059590.09,692377965970.29,12.38
CHN,China,2025,2004680999724.14,427526851689.18,10.97
IND,India,1955,402113455326.13,1590527533695.78,4.05
IND,India,1960,428826945786.24,1291183234805.15,6.08
IND,India,1965,512044467310.25,1791634180884.04,6.94
IND,India,1970,463439650960.12,1889805371826.02,7.56
IND,India,1975,540075983314.56,1846263053692.24,8.07
IND,India,1980,596917763327.93,2224309276083.85,7.91
IND,India,1985,632038892539.58,1823563089983.34,9.37
IND,India,1990,653727122741.23,2060877716472.91,9.85
IND,India,1995,569647571114.85,2670714145249.59,8.7
IND,India,2000,709460699685.99,2812865574847.11,10.11
IND,India,2005,703882191925.52,2431569566285.53,10.05
IND,India,2010,783436137314.16,3133521872924.28,11.38
IND,India,2015,695522706429.86,2126909552406.31,11.29
IND,India,2020,829408119948.63,2740814748975.0,10.8
IND,India,2025,787484038579.79,2950996460920.48,11.13
BRA,Brazil,1955,418772542373.44,1549963809337.05,4.16
BRA,Brazil,1960,457040159176.73,1456012021066.3,5.43
BRA,Brazil,1965,492749564060.56,2021557121119.96,6.84
BRA,Brazil,1970,430612589480.04,1967539010866.63,7.06
BRA,Brazil,1975,537063057244.29,1599303826777.2,7.5
BRA,Brazil,1980,499696458015.14,1580901034176.27,7.29
BRA,Brazil,1985,545806193455.62,2248651849085.77,8.73
BRA,Brazil,1990,596458041843.64,2223406587631.12,9.79
BRA,Brazil,1995,636160288755.18,1844419517666.92,10.46
BRA,Brazil,2000,635136439021.81,2349666988941.17,10.95
BRA,Brazil,2005,619421663077.17,2894330035983.12,10.44
BRA,Brazil,2010,725369844952.98,2797184599479.52,11.05
BRA,Brazil,2015,777329106515.06,2417613930848.43,10.75
BRA,Brazil,2020,865049069676.68,3307818904905.63,11.81
BRA,Brazil,2025,680436479105.67,2941651701292.09,11.64
FRA,France,1955,1692396228461.21,267329340758.02,5.07
FRA,France,1960,1743360782442.25,286406554050.04,5.02
FRA,France,1965,1894915120780.69,347105102784.61,6.79
FRA,France,1970,1836594885326.27,365442535870.32,7.67
FRA,France,1975,1713071578343.41,300929801723.48,8.13
FRA,France,1980,2004948947236.0,384086241291.99,7.82
FRA,France,1985,2431852190076.3,448574119860.26,8.5
FRA,France,1990,2142125289568.58,319466462442.12,9.78
FRA,France,1995,2719418882529.22,522998142718.5,9.63
FRA,France,2000,2801732454808.77,521712517386.6,9.46
FRA,France,2005,2363946855913.31,535900122379.11,10.6
FRA,France,2010,2639885080149.28,474718394022.51,10.51
FRA,France,2015,2673543877586.75,463996080124.77,11.74
FRA,France,2020,3093568538884.97,537134050518.38,11.69
FRA,France,2025,3160297227802.77,511880532257.76,10.99
AUS,Australia,1955,1825628585044.94,1092615698998.1,4.03
AUS,Australia,1960,2098703310774.33,1318689494049.29,5.56
